funder_uniq,funder_closest,funder_counts,funder_counts_pct,funder_imputed
governmentoftanzania,governmentofmisri,9084,15.29%,governmentoftanzania
,0,3635,6.12%,unknown
danida,dagida,3114,5.24%,danida
hesawa,esawa,2202,3.71%,others
rwssp,drwssp,1374,2.31%,rwssp
worldbank,bank,1349,2.27%,worldbank
kkkt,kmt,1287,2.17%,kkkt
worldvision,worldvisionadra,1247,2.10%,worldvision
unicef,unice,1057,1.78%,united_nations
tasaf,taasaf,877,1.48%,tasaf
districtcouncil,wbdistrictcouncil,843,1.42%,local_govt
dhv,dgv,829,1.40%,dhv
privateindividual,privateindividul,826,1.39%,privateindividual
dwsp,dasp,811,1.37%,dwsp
0,,777,1.31%,unknown
norad,morad,765,1.29%,norad
germanyrepubli,germany,610,1.03%,others
tcrs,crs,602,1.01%,tcrs
ministryofwater,ministryofhealthy,590,0.99%,others
water,eater,583,0.98%,others
dwe,de,484,0.81%,others
netherlands,netherland,470,0.79%,others
hifab,hiap,450,0.76%,others
adb,adf,448,0.75%,others
lga,ga,442,0.74%,others
amref,amrefe,425,0.72%,others
cesgmbh,asb,425,0.72%,others
finiwater,finnwater,393,0.66%,others
oxfam,oxfarm,359,0.60%,others
wateraid,water,333,0.56%,others
rcchurch,rcchurc,321,0.54%,church
isf,bsf,316,0.53%,others
rudep,redep,312,0.53%,others
mission,missio,301,0.51%,others
private,priva,295,0.50%,others
jaica,gaica,280,0.47%,others
roman,romanca,275,0.46%,others
ruralwatersupplyandsanitat,ruralwatersupplyandsanita,270,0.45%,others
adra,acra,263,0.44%,others
jica,jaica,259,0.44%,others
shipo,sido,241,0.41%,others
wsdp,asdp,234,0.39%,others
rc,c,230,0.39%,others
finw,dina,219,0.37%,others
dh,ch,213,0.36%,others
ded,de,198,0.33%,others
planint,panone,195,0.33%,others
kiliwater,kilwater,189,0.32%,others
dmdd,dmd,186,0.31%,others
go,co,181,0.30%,others
lawatefukawatersupply,lawatefukawatersuppl,180,0.30%,others
magadinimakiwaruwater,makanyasisalestate,179,0.30%,others
oxfarm,oxfam,176,0.30%,others
fw,dw,173,0.29%,others
wb,w,170,0.29%,others
kkktmakwale,kkktcanal,166,0.28%,kkkt
wvt,wvc,158,0.27%,others
oikoseafrika,africa,155,0.26%,others
nethalan,netherla,152,0.26%,others
mkingadistriccoun,mkingadistriccou,150,0.25%,others
lvia,alia,147,0.25%,others
concernworldwide,concerngovern,145,0.24%,others
unhcr,unice,137,0.23%,united_nations
no,co,134,0.23%,others
swedish,swidish,131,0.22%,others
african,africa,128,0.22%,others
anglicanchurch,dweanglicanchurch,126,0.21%,church
community,tlccommunity,126,0.21%,others
he,de,125,0.21%,others
is,bs,125,0.21%,others
ki,ai,124,0.21%,others
ir,br,123,0.21%,others
tardo,tado,123,0.21%,others
snv,dgv,122,0.21%,others
wananchi,wanan,122,0.21%,others
romancatholic,romamcatholic,121,0.20%,others
wua,sua,121,0.20%,others
unice,unicef,119,0.20%,united_nations
bsf,bs,117,0.20%,others
tassaf,taasaf,116,0.20%,others
co,c,111,0.19%,others
dfid,bfwd,110,0.19%,others
lamp,adp,110,0.19%,others
concern,cocern,108,0.18%,others
muwsa,muwasa,107,0.18%,others
villagers,villaers,106,0.18%,others
ru,eu,105,0.18%,others
villagecouncil,villegecouncil,105,0.18%,local_govt
halmashauriyawilayasikonge,halmashauriyawilaya,102,0.17%,others
finwater,finiwater,101,0.17%,others
germany,acogermany,101,0.17%,others
hsw,hw,101,0.17%,others
twe,dwe,97,0.16%,others
wateraidsema,wateaidsema,96,0.16%,others
idc,fdc,92,0.15%,others
tanza,mwanza,88,0.15%,others
missi,missio,87,0.15%,others
h,,86,0.14%,others
mdrdp,drdp,86,0.14%,others
undp,adp,86,0.14%,others
aict,act,85,0.14%,others
gtz,giz,84,0.14%,others
japan,hapa,82,0.14%,others
cmsr,cmcr,81,0.14%,others
rcch,ccp,80,0.13%,others
ndrdp,drdp,78,0.13%,others
vwc,pwc,78,0.13%,others
kuwait,kuwasa,72,0.12%,others
lwi,lwf,72,0.12%,others
caritas,caltas,70,0.12%,others
cdtf,adf,70,0.12%,others
kkktchurch,agtchurch,70,0.12%,kkkt
kaemp,kadip,69,0.12%,others
padep,adap,69,0.12%,others
conce,concen,68,0.11%,others
