installer_uniq,installer_closest,installer_counts,installer_counts_pct,installer_imputed
dwe,dawe,17428,29.34%,dwe
,0,3658,6.16%,unknown
government,governmen,1891,3.18%,government
hesawa,esawa,1395,2.35%,hesawa
rwe,dwe,1206,2.03%,rwe
commu,cocu,1065,1.79%,community
danida,danda,1050,1.77%,danida
districtcouncil,districtcounci,965,1.62%,local_govt
kkkt,kkt,910,1.53%,kkkt
0,,777,1.31%,unknown
centralgovernment,cebtralgovernment,763,1.28%,government
tcrs,crs,707,1.19%,tcrs
worldvision,worldvisiin,699,1.18%,worldvision
danid,daniad,624,1.05%,danida
ces,ce,610,1.03%,others
community,communit,555,0.93%,community
gover,gove,511,0.86%,government
amref,amec,443,0.75%,others
tasaf,tasa,416,0.70%,others
lga,ga,413,0.70%,others
wedeco,wadeco,398,0.67%,others
finiwater,finnwater,389,0.65%,others
dmdd,dmmd,376,0.63%,others
norad,nirad,366,0.62%,others
twesa,twess,316,0.53%,others
da,d,308,0.52%,others
wu,ju,301,0.51%,others
acra,accra,278,0.47%,others
sema,cefa,249,0.42%,others
dw,d,248,0.42%,others
kiliwater,kiliwaterr,248,0.42%,others
jaica,gaica,239,0.40%,others
oxfam,oxfarm,234,0.39%,others
unicef,unicrf,234,0.39%,others
shipo,ship,233,0.39%,others
idarayamaji,wizarayamaji,223,0.38%,others
gove,gover,222,0.37%,government
villagers,villaers,221,0.37%,others
sengeremawaterdepartment,lindiruralwaterdepartment,218,0.37%,others
finw,dina,208,0.35%,others
rcchurch,rcchurc,205,0.35%,others
dh,ch,202,0.34%,others
mwe,dwe,197,0.33%,others
kuwait,kuwaiti,195,0.33%,others
wateraid,wateraids,194,0.33%,others
dwsp,dasp,192,0.32%,others
distri,diwani,181,0.30%,others
rc,ac,181,0.30%,others
lawatefukawatersup,lawatefukawatersu,180,0.30%,others
magadinimakiwaruwa,mamakapwapwa,179,0.30%,others
fw,dw,173,0.29%,others
districtwaterdepartment,districwaterdepartment,167,0.28%,others
kkktkondeanddwe,kkktcanal,166,0.28%,dwe
centr,contr,162,0.27%,others
private,privat,162,0.27%,others
wvt,wvc,158,0.27%,others
handenitrunkmain,anglikan,157,0.26%,others
is,ics,156,0.26%,others
finwater,finiwater,153,0.26%,others
worldbank,wordbank,153,0.26%,others
wananchi,wanan,151,0.25%,others
rwssp,rssp,149,0.25%,others
jica,jaica,141,0.24%,others
centralgovt,centragovt,138,0.23%,others
adra,acra,135,0.23%,others
artisan,arisan,135,0.23%,others
isf,bsf,135,0.23%,others
adracommunity,arabcommunity,132,0.22%,others
mission,missio,130,0.22%,others
ddca,dcca,126,0.21%,others
he,ce,125,0.21%,others
world,word,125,0.21%,others
tardo,dardo,123,0.21%,others
ir,ar,122,0.21%,others
consultingengineer,consutingengineer,119,0.20%,others
twe,dwe,111,0.19%,others
villagecouncil,villagecounil,108,0.18%,local_govt
muwsa,musa,107,0.18%,others
ded,de,105,0.18%,others
wizarayamaji,idarayamaji,103,0.17%,others
halmashauriyawilayasikonge,halmashauriyawilaya,102,0.17%,others
hsw,sw,100,0.17%,others
go,co,98,0.16%,others
unisef,unicef,98,0.16%,others
angli,ai,97,0.16%,others
ki,ai,97,0.16%,others
oxfarm,oxfam,96,0.16%,others
roman,roma,94,0.16%,others
oikoseafrica,oikoseafrika,93,0.16%,others
vwc,vc,91,0.15%,others
cefa,ce,90,0.15%,others
missi,missio,87,0.15%,others
h,,86,0.14%,others
aict,act,84,0.14%,others
mdrdp,mdrd,84,0.14%,others
waterboard,waterboards,83,0.14%,others
wateraidsema,wateraids,82,0.14%,others
localtechnician,localltechnician,79,0.13%,others
regionwaterdepartment,waterdepartment,78,0.13%,others
chamavita,mahita,75,0.13%,others
water,inter,72,0.12%,others
lwi,lei,71,0.12%,others
wa,da,70,0.12%,others
kkktchurch,fpctchurch,69,0.12%,kkkt
gtz,ga,66,0.11%,others
dawasco,dawasa,65,0.11%,others
mtn,mtc,65,0.11%,others
villa,vill,65,0.11%,others
tassaf,tasaf,64,0.11%,others
ncaa,acra,63,0.11%,others
losaakiawatersupp,losakiawatersuppl,62,0.10%,others
lvia,alia,60,0.10%,others
wachina,china,60,0.10%,others
janduplumberco,magutumaro,59,0.10%,others
rcch,rcc,57,0.10%,others
wanan,japan,57,0.10%,others
co,c,55,0.09%,others
gen,ce,55,0.09%,others
rdc,idc,55,0.09%,others
tlc,lc,55,0.09%,others
communit,community,54,0.09%,others
dhv,dh,54,0.09%,others
priva,prima,54,0.09%,others
st,s,54,0.09%,others
pr,ar,53,0.09%,others
rwedwe,dwe,53,0.09%,dwe
localte,local,52,0.09%,others
cdtf,cdt,50,0.08%,others
districtwaterdepar,districtwaterdepartment,46,0.08%,others
ka,da,46,0.08%,others
local,localte,46,0.08%,others
miziriol,mayiro,46,0.08%,others
mlade,ad,46,0.08%,others
planinternationa,planinternational,46,0.08%,others
shawasa,shuwasa,45,0.08%,others
solidame,solidarm,45,0.08%,others
ga,da,42,0.07%,others
redcross,recoda,42,0.07%,others
tdft,cdt,42,0.07%,others
cbhcc,ccec,41,0.07%,others
notknown,notkno,41,0.07%,others
concern,concen,40,0.07%,others
grumeti,grumenti,39,0.07%,others
kuwasa,auwasa,38,0.06%,others
do,co,37,0.06%,others
jbg,abd,37,0.06%,others
shybuilders,cfbuilders,37,0.06%,others
tanapa,tanap,37,0.06%,others
kidp,kadp,36,0.06%,others
bsf,isf,35,0.06%,others
ch,c,35,0.06%,others
mbiuwasa,mbiusa,35,0.06%,others
hapasingida,hamisifidia,34,0.06%,others
tanzaniagovernment,tanzaniangovernment,34,0.06%,government
finnwater,finiwater,33,0.06%,others
kkt,kk,33,0.06%,kkkt
ma,da,33,0.06%,others
msabi,miab,33,0.06%,others
muwasa,auwasa,33,0.06%,others
padep,adap,33,0.06%,others
si,ai,33,0.06%,others
w,,33,0.06%,others
kiuma,juma,32,0.05%,others
tuwasa,auwasa,32,0.05%,others
vtecos,vitecos,32,0.05%,others
wb,w,32,0.05%,others
cons,boni,31,0.05%,others
holland,holand,31,0.05%,others
localcontract,ampcontract,31,0.05%,others
rwecommunity,arabcommunity,31,0.05%,rwe
thedeskandchairfoundat,deskandchairfoundation,31,0.05%,others
totallandcare,totolandcare,31,0.05%,others
accra,acra,30,0.05%,others
happywatotofoundation,bingofoundation,30,0.05%,others
kaemp,kaem,30,0.05%,others
kalta,kata,30,0.05%,others
kokeni,boni,30,0.05%,others
abasia,obadia,29,0.05%,others
af,ac,29,0.05%,others
ccec,amec,29,0.05%,others
marafip,marafin,29,0.05%,others
po,co,29,0.05%,others
swissif,missi,29,0.05%,others
gwascol,gwasco,28,0.05%,others
rhobi,rhoda,28,0.05%,others
villagecommunity,dadsvillagecommunity,28,0.05%,others
wdandid,danid,28,0.05%,others
cjejowconstruction,mkonconstruction,27,0.05%,others
cocane,care,27,0.05%,others
